 
        grid           theta
    1        0.93533        0.57125
    2        0.94205        0.63730
    3        0.94877        0.70494
    4        0.95550        0.77408
    5        0.96222        0.84461
    6        0.96894        0.91646
    7        0.97566        0.98957
    8        0.98238        1.06386
    9        0.98910        1.13928
   10        0.99582        1.21578
   11        1.00254        1.29331
   12        1.00926        1.37182
   13        1.01599        1.45128
   14        1.02271        1.53164
   15        1.02943        1.61288
   16        1.03615        1.69496
   17        1.04287        1.77785
   18        1.04959        1.86152
   19        1.05631        1.94595
   20        1.06303        2.03111
   21        1.06975        2.11699
   22        1.07648        2.20354
   23        1.08320        2.29077
   24        1.08992        2.37864
   25        1.09664        2.46714
   26        1.10336        2.55626
   27        1.11008        2.64596
   28        1.11680        2.73625
   29        1.12352        2.82710
   30        1.13025        2.91850
   31        1.13697        3.01044
   32        1.14369        3.10290
   33        1.15041        3.19588
   34        1.15713        3.28935
   35        1.16385        3.38331
   36        1.17057        3.47775
   37        1.17729        3.57265
   38        1.18401        3.66801
   39        1.19074        3.76382
   40        1.19746        3.86007
   41        1.20418        3.95675
   42        1.21090        4.05384
   43        1.21762        4.15135
   44        1.22434        4.24926
   45        1.23106        4.34757
   46        1.23778        4.44627
   47        1.24450        4.54535
   48        1.25123        4.64481
   49        1.25795        4.74463
   50        1.26467        4.84481
 
 avg_z     =        1.10001
 sd_z      =        0.02339
 avg_theta =        2.51546
 sd_theta  =        0.30940
