 
        grid           theta
    1        0.93533        0.56798
    2        0.94205        0.63230
    3        0.94877        0.69794
    4        0.95550        0.76477
    5        0.96222        0.83271
    6        0.96894        0.90165
    7        0.97566        0.97153
    8        0.98238        1.04226
    9        0.98910        1.11377
   10        0.99582        1.18602
   11        1.00254        1.25894
   12        1.00926        1.33248
   13        1.01599        1.40659
   14        1.02271        1.48123
   15        1.02943        1.55636
   16        1.03615        1.63193
   17        1.04287        1.70792
   18        1.04959        1.78429
   19        1.05631        1.86101
   20        1.06303        1.93804
   21        1.06975        2.01537
   22        1.07648        2.09296
   23        1.08320        2.17078
   24        1.08992        2.24883
   25        1.09664        2.32706
   26        1.10336        2.40547
   27        1.11008        2.48403
   28        1.11680        2.56273
   29        1.12352        2.64154
   30        1.13025        2.72044
   31        1.13697        2.79943
   32        1.14369        2.87849
   33        1.15041        2.95759
   34        1.15713        3.03674
   35        1.16385        3.11590
   36        1.17057        3.19508
   37        1.17729        3.27426
   38        1.18401        3.35342
   39        1.19074        3.43256
   40        1.19746        3.51166
   41        1.20418        3.59072
   42        1.21090        3.66972
   43        1.21762        3.74866
   44        1.22434        3.82753
   45        1.23106        3.90631
   46        1.23778        3.98501
   47        1.24450        4.06360
   48        1.25123        4.14209
   49        1.25795        4.22047
   50        1.26467        4.29873
 
 avg_z     =        1.10001
 sd_z      =        0.02339
 avg_theta =        2.36740
 sd_theta  =        0.27232
